path	primary_phase	secondary_phases	disposition	evidence_refs	findings_refs	notes
apps/backend/buf.gen.yaml	03	05,11,18,20	reviewed-with-finding	protobuf-runtime-disabled.txt	A4-029	Protobuf generation target reviewed; runtime expects older class API
apps/backend/drizzle.config.ts	03	05,11,18,20	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt		Backend-local Drizzle config resolved by non-destructive drizzle-kit check
apps/backend/fly.toml	03	05,11,18,20	reviewed-with-finding	A4-023,A4-033	phase 11; health-orchestrator-db-gaps.txt	Fly release_command packaging and HTTP healthcheck status behavior reviewed
apps/backend/package.json	03	05,11,18,20	reviewed-with-finding	A4-007,A4-038	phase 04; tax-reporting-csv-implementation-gap.txt	Drizzle Kit audit-advisory chain recorded; no report:quarterly-tax command present
apps/backend/proto/clustering.proto	03	05,11,18,20	reviewed-with-finding	protobuf-runtime-disabled.txt	A4-029	Cluster proto source reviewed; generated module not consumed correctly at runtime
apps/backend/src/__fixtures__/ctx/README.md	03	05,11,18,20	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		CTX fixture file covered by fixture contract and infra slice evidence
apps/backend/src/__fixtures__/ctx/create-order-response.json	03	05,11,18,20	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		CTX fixture file covered by fixture contract and infra slice evidence
apps/backend/src/__fixtures__/ctx/get-order-response.json	03	05,11,18,20	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		CTX fixture file covered by fixture contract and infra slice evidence
apps/backend/src/__fixtures__/ctx/list-orders-response.json	03	05,11,18,20	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		CTX fixture file covered by fixture contract and infra slice evidence
apps/backend/src/__fixtures__/ctx/merchant-item.json	03	05,11,18,20	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		CTX fixture file covered by fixture contract and infra slice evidence
apps/backend/src/__fixtures__/ctx/merchants-list-response.json	03	05,11,18,20	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		CTX fixture file covered by fixture contract and infra slice evidence
apps/backend/src/__fixtures__/ctx/refresh-token-response.json	03	05,11,18,20	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		CTX fixture file covered by fixture contract and infra slice evidence
apps/backend/src/__fixtures__/ctx/verify-otp-response.json	03	05,11,18,20	reviewed-no-finding	backend-infra-merchant-slice-tests.txt		CTX fixture file covered by fixture contract and infra slice evidence
apps/backend/src/__tests__/bigint-money-property.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/__tests__/circuit-breaker.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/__tests__/ctx-contract.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/__tests__/discord.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/__tests__/env.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/__tests__/integration/admin-writes.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/__tests__/integration/asset-drift-watcher.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/__tests__/integration/cashback-history.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/__tests__/integration/db-test-setup.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	phase-11-data-migrations notes; schema-journal-table-matrix.txt; backend-domain-slice-tests.txt		Integration truncate list covers every schema table; backend domain slice evidence refreshed
apps/backend/src/__tests__/integration/flywheel.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/__tests__/integration/payment-watcher.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/__tests__/integration/payout-worker.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/__tests__/integration/procurement-worker.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/__tests__/integration/vitest-integration-setup.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/__tests__/kill-switches.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/__tests__/logger.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/__tests__/openapi-error-code.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/__tests__/request-context.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/__tests__/routes.integration.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-with-finding	health-orchestrator-db-gaps.txt; backend-domain-slice-tests.txt	A4-033	Health tests assert degraded body with HTTP 200; backend domain slice evidence refreshed
apps/backend/src/__tests__/runtime-health.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-with-finding	phase 13; backend-domain-slice-tests.txt	A4-025	Runtime-health tests cover stale only after first success; first-tick hang gap filed; backend domain slice evidence refreshed
apps/backend/src/__tests__/sentry-scrubber.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/__tests__/slugs.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/__tests__/trust-proxy-trusted.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/__tests__/trust-proxy.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/__tests__/upstream-body-scrub.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/__tests__/upstream.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	backend-domain-slice-tests.txt		Backend domain test file covered by 81-file / 1,034-test domain slice run
apps/backend/src/__tests__/vitest-env-setup.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-with-finding	e2e-real-workflow-env-fails.txt; backend-domain-slice-tests.txt	A4-034	Test setup supplies placeholder DATABASE_URL, unlike manual workflow; backend domain slice evidence refreshed
apps/backend/src/admin/__tests__/asset-circulation.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/asset-drift-state.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/audit-envelope.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/audit-tail-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/audit-tail.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/cashback-activity-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/cashback-activity.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/cashback-configs-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/cashback-monthly.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/cashback-realization-daily-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/cashback-realization-daily.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/cashback-realization.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/configs-history.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/credit-adjustments.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/discord-config.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/discord-notifiers.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/discord-test.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/handler.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/idempotency-ttl.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/idempotency.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/merchant-cashback-monthly.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/merchant-cashback-summary.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/merchant-flows.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/merchant-flywheel-activity-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/merchant-flywheel-activity.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/merchant-flywheel-stats.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/merchant-operator-mix.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/merchant-payment-method-share.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/merchant-stats-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/merchant-stats.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/merchant-top-earners.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/merchants-catalog-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/merchants-flywheel-share-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/merchants-flywheel-share.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/merchants-resync.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/operator-activity.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/operator-latency.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/operator-merchant-mix.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/operator-stats.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/operator-supplier-spend.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/operators-snapshot-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/orders-activity.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/orders-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/orders.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/payment-method-activity.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/payment-method-share.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/payout-compensation.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/payouts-activity-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/payouts-activity.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/payouts-by-asset.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/payouts-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/payouts-monthly.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/payouts.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/read-audit.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/reconciliation.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/refunds.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/settlement-lag.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/stuck-orders.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/stuck-payouts.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-with-finding	phase 10; admin-surface-paired-test-inventory.txt	A4-022	Stuck-payout tests reviewed; missing fresh-submitted exclusion filed; admin test slice passed
apps/backend/src/admin/__tests__/supplier-spend-activity-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/supplier-spend-activity.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/supplier-spend.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/top-users-by-pending-payout.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/top-users.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/treasury-credit-flow-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/treasury-credit-flow.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/treasury-snapshot-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
apps/backend/src/admin/__tests__/treasury.test.ts	18	05,06,07,08,09,10,11,12,13,16	reviewed-no-finding	admin-surface-paired-test-inventory.txt		Admin test file covered by paired admin implementation/test inventory and passing 85-file admin test slice
